"","nrk","gmina","teryt","siedziba","nawrocki","trzaskowski","lwkwk","l.wyborcow.upr","lkw","lz","frek1","lgnw","lgnw.x","lgnw.no.x","nawrocki.p","trzaskowski.p","tnr1","lgw","lwkwk2","l.wyborcow.upr2","lkw2","lz2","frek2","lgnw2","lgnw.x.2","lgnw.no.x2","nawrocki2","tnr2","trzaskowski2","nawrocki.p2","trzaskowski.p2","lgw2","rodzaj","country","latitude","longitude"
"76","226101.076","m. Gdańsk","226101","Marcina Dragana 2, 80-807 Gdańsk, Polska",283,783,1539,1896,1540,30,0.812236286919831,6,1,5,18.4485006518905,51.0430247718383,0.734521575984991,1534,1588,1877,1586,35,0.84496537027171,11,5,6,469,0.702222222222222,1106,29.7777777777778,70.2222222222222,1575,"miejska","Poland",54.3392862,18.6078212
"77","226101.077","m. Gdańsk","226101","Kartuska 245B, 80-122 Gdańsk, Polska",282,767,1734,2263,1734,34,0.76623950508175,6,0,6,16.3194444444444,44.3865740740741,0.73117254528122,1728,1780,2232,1781,38,0.797939068100358,11,9,2,485,0.725988700564972,1285,27.4011299435028,72.5988700564972,1770,"miejska","Poland",54.3464238,18.5973715
"78","226101.078","m. Gdańsk","226101","Kartuska 126A, 80-104 Gdańsk, Polska",228,512,1166,1545,1166,41,0.754692556634304,9,4,5,19.7061365600691,44.2523768366465,0.691891891891892,1157,1196,1551,1196,55,0.771115409413282,7,3,4,368,0.690496215306981,821,30.9503784693019,69.0496215306981,1189,"miejska","Poland",54.3481486,18.618513
"79","226101.079","m. Gdańsk","226101","Kartuska 126A, 80-104 Gdańsk, Polska",218,551,1226,1646,1226,14,0.744835965978129,3,0,3,17.8250204415372,45.0531479967294,0.716514954486346,1223,1289,1629,1289,28,0.791282995702885,7,1,6,386,0.698907956318253,896,30.1092043681747,69.8907956318253,1282,"miejska","Poland",54.3481486,18.618513
"80","226101.080","m. Gdańsk","226101","Skarpowa 3, 80-145 Gdańsk, Polska",420,910,2030,2713,2034,46,0.749723553262072,4,0,4,20.6896551724138,44.8275862068966,0.684210526315789,2030,2180,2770,2184,83,0.788447653429603,13,7,6,679,0.687240902809765,1492,31.2759097190235,68.7240902809765,2171,"miejska","Poland",54.3521027,18.6274297
"81","226101.081","m. Gdańsk","226101","Skarpowa 3, 80-145 Gdańsk, Polska",396,768,1841,2534,1854,21,0.73164956590371,6,0,6,21.4285714285714,41.5584415584416,0.65979381443299,1848,1927,2532,1942,36,0.766982622432859,20,13,7,607,0.684183142559833,1315,31.5816857440167,68.4183142559833,1922,"miejska","Poland",54.3521027,18.6274297
"82","226101.082","m. Gdańsk","226101","Cygańska Góra 1, 80-171 Gdańsk, Polska",216,383,968,1275,968,19,0.75921568627451,5,1,4,22.4299065420561,39.7715472481828,0.639398998330551,963,971,1249,971,31,0.77742193755004,5,3,2,362,0.625258799171843,604,37.4741200828157,62.5258799171843,966,"miejska","Poland",54.3585582,18.6195392
"83","226101.083","m. Gdańsk","226101","Ludwika Beethovena 20, 80-171 Gdańsk, Polska",403,886,2010,2608,2010,40,0.770705521472393,2,0,2,20.0697211155378,44.1235059760956,0.687354538401862,2008,2095,2601,2099,61,0.806997308727412,12,3,9,702,0.663632007666507,1385,33.6367992333493,66.3632007666507,2087,"miejska","Poland",54.3566885,18.6140949
"84","226101.084","m. Gdańsk","226101","Piotra Czajkowskiego 1, 80-169 Gdańsk, Polska",317,688,1558,2130,1558,15,0.731455399061033,6,4,2,20.4252577319588,44.3298969072165,0.684577114427861,1552,1656,2118,1657,21,0.782341831916903,13,12,1,530,0.677615571776156,1114,32.2384428223844,67.7615571776156,1644,"miejska","Poland",54.3535939,18.6031279
"85","226101.085","m. Gdańsk","226101","Piotra Czajkowskiego 1, 80-169 Gdańsk, Polska",348,701,1597,2150,1597,39,0.742790697674419,6,0,6,21.8730358265242,44.0603394091766,0.668255481410868,1591,1629,2101,1604,40,0.763445978105664,16,7,9,542,0.658690176322418,1046,34.1309823677582,65.8690176322418,1588,"miejska","Poland",54.3535939,18.6031279
"86","226101.086","m. Gdańsk","226101","Poli Gojawiczyńskiej 10, 80-286 Gdańsk, Polska",364,853,1826,2326,1826,28,0.785038693035254,8,3,5,20.02200220022,46.9196919691969,0.700903861955629,1818,1860,2302,1860,42,0.807993049522155,20,12,8,583,0.683152173913044,1257,31.6847826086956,68.3152173913043,1840,"miejska","Poland",54.3587949,18.5933031
