"","nrk","gmina","teryt","siedziba","nawrocki","trzaskowski","lwkwk","l.wyborcow.upr","lkw","lz","frek1","lgnw","lgnw.x","lgnw.no.x","nawrocki.p","trzaskowski.p","tnr1","lgw","lwkwk2","l.wyborcow.upr2","lkw2","lz2","frek2","lgnw2","lgnw.x.2","lgnw.no.x2","nawrocki2","tnr2","trzaskowski2","nawrocki.p2","trzaskowski.p2","lgw2","rodzaj","country","latitude","longitude"
"30","226101.030","m. Gdańsk","226101","Wały Piastowskie 6, 80-855 Gdańsk, Polska",234,684,1654,2191,1659,103,0.757188498402556,6,1,5,14.1560798548094,41.3793103448276,0.745098039215686,1653,1875,2376,1879,170,0.790824915824916,20,12,8,493,0.734803657880581,1366,26.5196342119419,73.4803657880581,1859,"miejska","Poland",54.3585214,18.6486721
"31","226101.031","m. Gdańsk","226101","Korzenna 33/35, 80-851 Gdańsk, Polska",134,266,705,910,705,74,0.774725274725275,4,2,2,19.1155492154066,37.9457917261056,0.665,701,849,1040,849,138,0.816346153846154,11,5,6,276,0.670644391408115,562,32.9355608591885,67.0644391408115,838,"miejska","Poland",54.3539639,18.6480183
"32","226101.032","m. Gdańsk","226101","Karpia 1, 80-882 Gdańsk, Polska",196,475,1087,1530,1090,44,0.712418300653595,4,2,2,18.0478821362799,43.7384898710866,0.707898658718331,1086,1202,1578,1207,100,0.76489226869455,10,6,4,358,0.700918964076859,839,29.9081035923141,70.0918964076859,1197,"miejska","Poland",54.3554139,18.6592083
"33","226101.033","m. Gdańsk","226101","Grobla IV 8, 80-837 Gdańsk, Polska",299,649,1499,2078,1504,100,0.723772858517806,2,0,2,19.9067909454061,43.2090545938748,0.684599156118143,1502,1689,2211,1692,165,0.765264586160109,22,10,12,507,0.696407185628742,1163,30.3592814371257,69.6407185628743,1670,"miejska","Poland",54.352786,18.6549929
"34","226101.034","m. Gdańsk","226101","Długi Targ 39/40, 80-830 Gdańsk, Polska",178,462,1041,1403,1040,186,0.741268709907341,5,3,2,17.1980676328502,44.6376811594203,0.721875,1035,1245,1579,1245,318,0.788473717542749,10,8,2,411,0.667206477732794,824,33.2793522267206,66.7206477732794,1235,"miejska","Poland",54.3486089,18.6540532
"35","226101.035","m. Gdańsk","226101","Żabi Kruk 5, 80-822 Gdańsk, Polska",229,796,1800,2387,1804,86,0.755760368663594,11,2,9,12.7718906860011,44.3948689347462,0.776585365853659,1793,2015,2572,2020,173,0.785381026438569,28,13,15,511,0.743473895582329,1481,25.6526104417671,74.3473895582329,1992,"miejska","Poland",54.3446935,18.649935
"36","226101.036","m. Gdańsk","226101","Śluza 6, 80-770 Gdańsk, Polska",321,673,1729,2698,1729,53,0.640845070422535,8,2,6,18.6519465427077,39.1051714119698,0.677062374245473,1721,1903,2752,1905,96,0.692223837209302,13,9,4,674,0.643763213530655,1218,35.6236786469345,64.3763213530655,1892,"miejska","Poland",54.3421626,18.6572575
"37","226101.037","m. Gdańsk","226101","Łąkowa 61, 80-769 Gdańsk, Polska",175,425,1052,1581,1051,80,0.664769133459836,4,2,2,16.7144221585482,40.5921680993314,0.708333333333333,1047,1133,1600,1134,81,0.70875,10,5,5,385,0.657473309608541,739,34.2526690391459,65.7473309608541,1124,"miejska","Poland",54.3467093,18.6639184
"38","226101.038","m. Gdańsk","226101","Mariana Seredyńskiego 1A, 80-753 Gdańsk, Polska",340,928,2128,2900,2126,70,0.733103448275862,11,1,10,16.0756501182033,43.8770685579196,0.73186119873817,2115,2330,3005,2331,142,0.775707154742097,24,14,10,688,0.701777199826615,1619,29.8222800173385,70.1777199826615,2307,"miejska","Poland",54.3486505,18.6665991
"39","226101.039","m. Gdańsk","226101","Głęboka 11, 80-759 Gdańsk, Polska",150,354,833,1139,833,42,0.73134328358209,3,0,3,18.0722891566265,42.6506024096386,0.702380952380952,830,875,1161,876,44,0.754521963824289,10,4,6,289,0.666281755196305,577,33.3718244803695,66.6281755196305,866,"miejska","Poland",54.3525094,18.6737897
"40","226101.040","m. Gdańsk","226101","Targ Rakowy 11, 80-806 Gdańsk, Polska",77,156,396,622,397,36,0.638263665594855,3,1,2,19.5431472081218,39.5939086294416,0.669527896995708,394,438,657,439,64,0.668188736681887,2,1,1,140,0.679633867276888,297,32.0366132723112,67.9633867276888,437,"miejska","Poland",54.350792,18.6445308
"41","226101.041","m. Gdańsk","226101","Na Stoku 43, 80-811 Gdańsk, Polska",187,280,808,1308,808,18,0.617737003058104,4,1,3,23.2587064676617,34.8258706467662,0.599571734475375,804,865,1317,865,20,0.656795747911921,8,5,3,342,0.600933488914819,515,39.9066511085181,60.0933488914819,857,"miejska","Poland",54.3461938,18.6421322
"42","226101.042","m. Gdańsk","226101","Wielkopolska 20, 80-180 Gdańsk, Polska",193,851,1721,2178,1723,17,0.7910927456382,2,2,0,11.2144102266124,49.4479953515398,0.815134099616858,1721,1770,2178,1774,22,0.814508723599633,10,8,2,438,0.751700680272109,1326,24.8299319727891,75.1700680272109,1764,"miejska","Poland",54.3164178,18.5891806
"43","226101.043","m. Gdańsk","226101","Wielkopolska 20, 80-180 Gdańsk, Polska",245,856,2331,2974,2331,23,0.783792871553463,9,5,4,10.5512489233419,36.8647717484927,0.77747502270663,2322,2531,3070,2533,41,0.825081433224756,30,18,12,717,0.713543747502996,1786,28.6456252497004,71.3543747502996,2503,"miejska","Poland",54.3164178,18.5891806
"44","226101.044","m. Gdańsk","226101","Człuchowska 6, 80-180 Gdańsk, Polska",232,758,1752,2267,1753,21,0.773268636965152,9,3,6,13.302752293578,43.4633027522936,0.765656565656566,1744,1897,2333,1898,57,0.813544792113159,19,15,4,474,0.747738158594997,1405,25.2261841405003,74.7738158594997,1879,"miejska","Poland",54.324927,18.5831406
"45","226101.045","m. Gdańsk","226101","Człuchowska 6, 80-180 Gdańsk, Polska",366,722,1817,2610,1818,23,0.696551724137931,8,2,6,20.2209944751381,39.8895027624309,0.663602941176471,1810,1870,2571,1870,26,0.727343446129911,19,10,9,672,0.636952998379254,1179,36.3047001620746,63.6952998379254,1851,"miejska","Poland",54.324927,18.5831406
"46","226101.046","m. Gdańsk","226101","Człuchowska 6, 80-180 Gdańsk, Polska",169,726,1589,1994,1589,18,0.796890672016048,6,3,3,10.6759317751105,45.8622867972205,0.811173184357542,1583,1630,1967,1630,18,0.828673106253177,15,10,5,381,0.764086687306502,1234,23.5913312693498,76.4086687306501,1615,"miejska","Poland",54.324927,18.5831406
"47","226101.047","m. Gdańsk","226101","Człuchowska 6, 80-180 Gdańsk, Polska",239,682,1546,2094,1546,31,0.738299904489016,2,0,2,15.479274611399,44.1709844559586,0.740499457111835,1544,1623,2093,1623,40,0.775441949354993,17,12,5,494,0.692403486924035,1112,30.7596513075965,69.2403486924035,1606,"miejska","Poland",54.324927,18.5831406
"48","226101.048","m. Gdańsk","226101","Płocka 4, 80-180 Gdańsk, Polska",378,985,2375,2915,2377,27,0.815437392795883,16,3,13,16.010165184244,41.719610334604,0.722670579603815,2361,2474,2941,2476,66,0.841890513430806,18,15,3,711,0.710740439381611,1747,28.9259560618389,71.0740439381611,2458,"miejska","Poland",54.324888,18.5898119
"49","226101.049","m. Gdańsk","226101","Lubelska 3A, 80-180 Gdańsk, Polska",136,359,848,1116,848,22,0.759856630824373,0,0,0,16.0377358490566,42.3349056603774,0.725252525252525,848,891,1103,891,20,0.807796917497733,10,5,5,261,0.703745743473326,620,29.6254256526674,70.3745743473326,881,"miejska","Poland",54.3325445,18.5923717
"50","226101.050","m. Gdańsk","226101"," Centrum Pracy Socjalnej 9, Gdańsk ul. Piekarnicza 16, 80-126 Gdańsk, Polska",127,720,1531,1771,1531,52,0.864483342744212,7,2,5,8.33333333333333,47.244094488189,0.850059031877214,1524,1567,1771,1567,60,0.88481084133258,16,8,8,336,0.783365570599613,1215,21.6634429400387,78.3365570599613,1551,"miejska","Poland",NA,NA
"51","226101.051","m. Gdańsk","226101","Stolema 59, 80-177 Gdańsk, Polska",224,860,2010,2483,2010,17,0.80950463149416,6,3,3,11.1776447105788,42.9141716566866,0.793357933579336,2004,2125,2526,2126,31,0.841646872525732,25,13,12,483,0.770109471680152,1618,22.9890528319848,77.0109471680152,2101,"miejska","Poland",54.3435333,18.5609957
"52","226101.052","m. Gdańsk","226101","Srebrna 11, 80-180 Gdańsk, Polska",245,806,2113,2792,2116,26,0.757879656160458,8,4,4,11.6223908918406,38.2352941176471,0.766888677450048,2108,2276,2906,2279,29,0.784239504473503,36,23,13,693,0.691038787338386,1550,30.8961212661614,69.1038787338386,2243,"miejska","Poland",54.3136665,18.60234
"53","226101.053","m. Gdańsk","226101","Srebrna 11, 80-180 Gdańsk, Polska",231,929,2587,3218,2585,37,0.803293971410814,7,2,5,8.96043444530644,36.0356865787432,0.800862068965517,2578,2709,3312,2709,40,0.817934782608696,37,25,12,722,0.729790419161677,1950,27.0209580838323,72.9790419161677,2672,"miejska","Poland",54.3136665,18.60234
