id;teryt;nrk;K15;KBLN;KE;LR;PFP;PLE;PiS;WRB;
457928;020103;2;1.60;7.67;16.29;0.64;0.00;0.00;70.93;2.88;
457929;020103;3;3.17;2.68;30.00;1.46;0.00;0.00;57.07;5.61;
457930;020103;4;5.13;4.49;30.77;0.00;0.00;0.00;58.33;1.28;
457931;020104;1;6.55;6.99;24.02;1.31;0.00;0.00;55.90;5.24;
457940;020104;10;5.34;6.57;19.30;1.03;0.00;0.00;61.19;6.57;
457941;020104;11;5.38;4.84;36.56;3.23;0.00;0.00;43.82;6.18;
485231;020104;12;0.00;0.00;60.00;0.00;0.00;0.00;40.00;0.00;
457932;020104;2;2.24;4.10;22.39;0.75;0.00;0.00;64.93;5.60;
457933;020104;3;5.00;5.00;33.33;0.56;0.00;0.00;51.67;4.44;
457934;020104;4;3.00;6.91;12.01;1.20;0.00;0.00;73.87;3.00;
457935;020104;5;2.82;6.58;21.94;1.88;0.00;0.00;64.58;2.19;
457936;020104;6;3.72;6.51;26.05;2.33;0.00;0.00;54.88;6.51;
457937;020104;7;5.25;4.30;25.32;0.96;0.00;0.00;59.71;4.46;
457938;020104;8;4.31;5.17;30.86;1.03;0.00;0.00;51.90;6.72;
457939;020104;9;4.07;9.76;27.64;1.22;0.00;0.00;53.66;3.66;
457942;020105;1;7.74;7.12;21.36;1.86;0.00;0.00;53.87;8.05;
457943;020105;2;4.68;7.80;37.42;2.00;0.00;0.00;41.20;6.90;
457944;020105;3;4.44;9.63;23.70;3.70;0.00;0.00;52.59;5.93;
457945;020105;4;5.08;3.05;32.49;2.03;0.00;0.00;51.27;6.09;
457946;020105;5;3.30;11.36;35.16;2.20;0.00;0.00;44.32;3.66;
457947;020105;6;3.51;3.51;38.60;0.00;0.00;0.00;49.12;5.26;
457948;020105;7;6.74;6.48;42.23;3.63;0.00;0.00;30.31;10.62;
457949;020106;1;4.76;6.61;31.75;1.85;0.00;0.00;51.59;3.44;
457950;020106;2;5.66;7.30;38.32;1.28;0.00;0.00;40.15;7.30;
457951;020106;3;5.56;4.17;22.22;1.39;0.00;0.00;58.33;8.33;
457952;020106;4;5.08;4.07;26.02;1.42;0.00;0.00;59.15;4.27;
457953;020106;5;2.09;8.01;38.33;1.05;0.00;0.00;42.51;8.01;
457954;020106;6;1.19;3.17;24.21;1.59;0.00;0.00;64.68;5.16;
457955;020201;1;3.90;5.12;38.05;0.49;0.00;0.00;47.56;4.88;
457964;020201;10;4.01;5.65;47.91;1.46;0.00;0.00;35.88;5.10;
457965;020201;11;1.93;3.43;42.40;1.71;0.00;0.00;42.83;7.71;
457966;020201;12;3.11;5.33;36.00;1.11;0.00;0.00;48.44;6.00;
457967;020201;13;2.79;4.33;34.06;0.93;0.00;0.00;52.63;5.26;
457968;020201;14;2.73;4.98;52.81;1.28;0.00;0.00;31.46;6.74;
457969;020201;15;4.35;5.72;42.33;1.37;0.00;0.00;41.65;4.58;
457970;020201;16;4.42;4.97;36.19;1.66;0.00;0.00;43.65;9.12;
457971;020201;17;4.00;6.00;32.00;2.00;0.00;0.00;47.33;8.67;
457972;020201;18;5.91;6.43;42.42;1.54;0.00;0.00;35.73;7.97;
457973;020201;19;5.32;2.22;37.92;1.55;0.00;0.00;44.57;8.43;
457956;020201;2;4.46;5.36;38.84;0.89;0.00;0.00;44.20;6.25;
457974;020201;20;3.19;4.98;51.20;1.00;0.00;0.00;34.06;5.58;
457975;020201;21;5.99;8.10;35.21;1.76;0.00;0.00;41.20;7.75;
485232;020201;22;8.33;25.00;16.67;0.00;0.00;0.00;25.00;25.00;
457957;020201;3;3.94;3.94;36.32;0.88;0.00;0.00;48.58;6.35;
457958;020201;4;2.23;3.98;37.90;1.59;0.00;0.00;47.13;7.17;
457959;020201;5;3.05;2.82;43.43;1.64;0.00;0.00;42.02;7.04;
457960;020201;6;2.79;5.35;44.88;1.86;0.00;0.00;37.91;7.21;
457961;020201;7;2.86;3.76;42.93;1.43;0.00;0.00;42.04;6.98;
457962;020201;8;5.03;5.21;43.27;0.72;0.00;0.00;38.60;7.18;
457963;020201;9;3.19;4.50;39.96;0.94;0.00;0.00;43.15;8.26;
457976;020202;1;5.03;5.89;54.60;1.87;0.00;0.00;25.86;6.75;
457985;020202;10;1.73;3.68;48.05;1.08;0.00;0.00;38.96;6.49;
457986;020202;11;3.67;6.73;48.62;0.76;0.00;0.00;33.79;6.42;
457987;020202;12;2.67;5.57;40.76;0.45;0.00;0.00;44.32;6.24;
457988;020202;13;2.25;5.25;36.00;0.00;0.00;0.00;50.75;5.75;
457989;020202;14;1.90;5.89;42.40;1.52;0.00;0.00;40.87;7.41;
457990;020202;15;3.51;4.73;41.07;1.53;0.00;0.00;40.76;8.40;
457991;020202;16;4.01;4.47;52.23;1.69;0.00;0.00;30.20;7.40;
457992;020202;17;4.92;5.96;41.71;1.55;0.00;0.00;39.38;6.48;
457993;020202;18;2.72;6.90;42.29;1.27;0.00;0.00;38.84;7.99;
457994;020202;19;3.36;3.89;40.46;1.94;0.00;0.00;44.52;5.83;
457977;020202;2;3.36;3.86;48.44;1.49;0.00;0.00;35.74;7.10;
457995;020202;20;2.28;5.55;45.68;0.49;0.00;0.00;37.52;8.48;
457996;020202;21;3.80;4.56;30.38;0.51;0.00;0.00;51.90;8.86;
485233;020202;22;19.35;6.45;40.32;8.06;0.00;0.00;17.74;8.06;
485234;020202;23;0.00;0.00;47.37;0.00;0.00;0.00;47.37;5.26;
457978;020202;3;3.33;4.79;35.83;1.04;0.00;0.00;48.33;6.67;
457979;020202;4;2.23;3.53;43.31;0.74;0.00;0.00;44.05;6.13;
457980;020202;5;3.78;4.98;42.27;1.37;0.00;0.00;39.18;8.42;
457981;020202;6;4.06;4.06;45.78;1.56;0.00;0.00;37.34;7.19;
457982;020202;7;3.34;3.53;48.24;0.19;0.00;0.00;39.70;5.01;
457983;020202;8;3.05;6.26;39.93;1.52;0.00;0.00;44.67;4.57;
457984;020202;9;2.69;4.74;46.92;1.26;0.00;0.00;35.55;8.85;
457997;020203;1;1.27;4.58;37.66;1.53;0.00;0.00;49.36;5.60;
457998;020203;2;1.63;7.52;34.97;1.14;0.00;0.00;46.08;8.66;
457999;020203;3;3.95;5.37;39.18;1.42;0.00;0.00;45.02;5.06;
458000;020203;4;6.21;4.97;32.92;1.24;0.00;0.00;45.55;9.11;
458001;020203;5;4.57;5.71;28.57;1.71;0.00;0.00;55.43;4.00;
458002;020203;6;2.40;5.48;33.22;0.68;0.00;0.00;50.68;7.53;
458003;020203;7;5.48;7.31;36.53;1.37;0.00;0.00;38.36;10.96;
512660;020203;8;4.17;4.17;33.33;0.00;0.00;0.00;54.17;4.17;
458004;020204;1;4.73;8.45;33.11;1.35;0.00;0.00;45.10;7.26;
458005;020204;2;2.65;6.77;30.78;1.91;0.00;0.00;51.99;5.89;
458006;020204;3;3.37;5.23;30.35;1.35;0.00;0.00;53.96;5.73;
458007;020205;1;4.95;4.50;31.08;1.35;0.00;0.00;53.60;4.50;
458016;020205;10;6.47;2.35;28.24;1.18;0.00;0.00;58.82;2.94;
458017;020205;11;1.74;3.97;36.72;0.99;0.00;0.00;51.61;4.96;
458018;020205;12;5.37;2.68;22.82;2.01;0.00;0.00;63.09;4.03;
485235;020205;13;17.57;5.41;58.11;2.70;0.00;0.00;9.46;6.76;
458008;020205;2;6.51;3.26;35.35;1.40;0.00;0.00;38.14;15.35;
458009;020205;3;5.70;2.07;34.20;1.04;0.00;0.00;49.22;7.77;
458010;020205;4;5.11;3.41;23.30;0.57;0.00;0.00;64.20;3.41;
458011;020205;5;5.33;6.67;24.00;2.00;0.00;0.00;57.33;4.67;
458012;020205;6;3.13;3.70;28.49;1.71;0.00;0.00;57.83;5.13;
458013;020205;7;4.86;4.32;29.73;0.54;0.00;0.00;53.51;7.03;
458014;020205;8;1.79;1.79;21.43;1.19;0.00;0.00;72.62;1.19;
458015;020205;9;3.98;5.96;27.63;1.19;0.00;0.00;54.87;6.36;
458019;020206;1;3.47;5.21;29.51;0.69;0.00;0.00;57.99;3.12;
458020;020206;2;3.59;6.67;23.85;1.03;0.00;0.00;61.03;3.85;
458021;020206;3;1.79;3.14;20.18;0.90;0.00;0.00;71.08;2.91;
458022;020206;4;4.84;6.99;24.19;1.61;0.00;0.00;54.84;7.53;
458023;020206;5;6.56;6.21;30.85;1.24;0.00;0.00;50.18;4.96;
458024;020206;6;5.51;3.58;35.54;0.28;0.00;0.00;48.48;6.61;
458025;020207;1;0.98;3.27;41.83;1.96;0.00;0.00;45.75;6.21;
458026;020207;2;5.56;4.27;38.46;2.14;0.00;0.00;43.16;6.41;
458027;020207;3;3.08;3.85;28.85;1.92;0.00;0.00;55.00;7.31;
458028;020207;4;3.02;5.74;34.14;0.91;0.00;0.00;51.36;4.83;
458029;020207;5;3.89;4.44;36.11;0.56;0.00;0.00;51.67;3.33;
458030;020207;6;4.00;2.67;36.00;1.33;0.00;0.00;52.89;3.11;
458031;020301;1;4.27;7.38;46.71;1.42;0.00;0.00;31.85;8.36;
458040;020301;10;3.45;4.15;45.94;1.04;0.00;0.00;36.10;9.33;
458041;020301;11;4.57;5.43;41.71;0.00;0.00;0.00;40.00;8.29;
458042;020301;12;5.63;4.32;46.47;1.44;0.00;0.00;36.52;5.63;
458043;020301;13;4.50;4.96;36.79;2.54;0.00;0.00;44.18;7.04;
458044;020301;14;4.93;3.90;39.45;1.61;0.00;0.00;44.61;5.50;
458045;020301;15;4.25;3.44;44.13;1.21;0.00;0.00;40.89;6.07;
458046;020301;16;3.30;3.69;39.51;1.26;0.00;0.00;45.63;6.60;
458047;020301;17;4.34;2.38;44.16;1.55;0.00;0.00;41.57;6.00;
458048;020301;18;4.50;3.84;43.20;1.32;0.00;0.00;43.09;4.06;
458049;020301;19;3.20;3.08;43.84;0.57;0.00;0.00;43.04;6.28;
458032;020301;2;3.49;4.69;45.41;0.76;0.00;0.00;39.52;6.11;
458050;020301;20;2.94;2.51;43.18;1.53;0.00;0.00;43.62;6.22;
458051;020301;21;5.56;2.47;38.07;2.26;0.00;0.00;44.65;7.00;
458052;020301;22;3.79;4.40;40.90;1.47;0.00;0.00;44.81;4.64;
458053;020301;23;4.15;2.99;46.68;1.00;0.00;0.00;39.04;6.15;
458054;020301;24;3.17;3.02;43.02;1.75;0.00;0.00;43.81;5.24;
458055;020301;25;2.73;6.08;52.83;0.42;0.00;0.00;31.87;6.08;
458056;020301;26;2.85;7.32;29.67;1.63;0.00;0.00;53.25;5.28;
458057;020301;27;4.03;3.07;39.41;1.92;0.00;0.00;46.60;4.99;
458058;020301;28;7.31;3.08;50.38;1.54;0.00;0.00;31.54;6.15;
458059;020301;29;2.52;4.61;36.73;1.32;0.00;0.00;49.34;5.48;
458033;020301;3;3.14;5.12;38.26;1.28;0.00;0.00;47.33;4.88;
458060;020301;30;5.30;4.55;39.96;1.70;0.00;0.00;39.39;9.09;
458061;020301;31;5.81;5.81;39.88;2.00;0.00;0.00;38.88;7.62;
458062;020301;32;3.68;4.39;44.21;1.05;0.00;0.00;40.35;6.32;
458063;020301;33;3.99;6.34;38.95;1.63;0.00;0.00;42.57;6.52;
485236;020301;34;9.09;9.09;48.76;3.31;0.00;0.00;20.66;9.09;
485237;020301;35;13.04;8.70;8.70;10.87;0.00;0.00;50.00;8.70;
485238;020301;36;0.00;5.56;44.44;0.00;0.00;0.00;50.00;0.00;
458034;020301;4;3.07;5.47;41.12;1.60;0.00;0.00;43.12;5.61;
458035;020301;5;3.82;5.73;39.31;0.95;0.00;0.00;44.66;5.53;
458036;020301;6;4.81;5.77;43.75;0.80;0.00;0.00;40.22;4.65;
458037;020301;7;4.59;1.31;41.80;1.31;0.00;0.00;44.59;6.39;
458038;020301;8;2.54;2.54;38.55;2.74;0.00;0.00;47.75;5.87;
458039;020301;9;3.12;3.82;43.06;1.56;0.00;0.00;40.97;7.47;
458064;020302;1;6.68;3.17;44.91;1.17;0.00;0.00;36.89;7.18;
458065;020302;2;5.19;4.59;25.35;1.20;0.00;0.00;56.49;7.19;
458066;020302;3;4.26;4.95;33.60;1.61;0.00;0.00;49.60;5.98;
458067;020302;4;3.38;3.66;29.86;0.56;0.00;0.00;57.18;5.35;
458068;020303;1;4.56;5.52;34.94;0.97;0.00;0.00;47.65;6.35;
458069;020303;2;2.11;4.43;48.52;3.38;0.00;0.00;34.81;6.75;
458070;020303;3;5.44;3.93;41.69;0.91;0.00;0.00;41.39;6.65;
458071;020303;4;5.98;5.58;30.28;0.80;0.00;0.00;50.20;7.17;
458072;020304;1;4.85;3.16;32.70;2.32;0.00;0.00;50.84;6.12;
458073;020304;2;7.14;5.19;12.34;0.65;0.00;0.00;72.08;2.60;
458074;020304;3;3.60;6.80;17.20;2.00;0.00;0.00;63.60;6.80;
458075;020304;4;5.12;3.26;32.56;0.47;0.00;0.00;47.91;10.70;
458076;020304;5;2.41;0.00;27.71;2.41;0.00;0.00;57.83;9.64;
458077;020305;1;2.78;5.05;23.74;2.02;0.00;0.00;64.14;2.27;
458078;020305;2;4.17;1.39;15.74;1.85;0.00;0.00;75.46;1.39;
458079;020306;1;5.08;7.63;19.92;1.27;0.00;0.00;62.08;4.03;
458080;020306;2;5.59;4.73;35.48;1.51;0.00;0.00;43.66;9.03;
458081;020401;1;2.79;4.18;35.29;1.95;0.00;0.00;50.07;5.72;
458090;020401;10;4.53;6.92;25.54;1.19;0.00;0.00;58.47;3.34;
458091;020401;11;3.50;1.40;31.82;1.05;0.00;0.00;54.55;7.69;
458082;020401;2;3.53;2.45;49.59;0.54;0.00;0.00;38.72;5.16;
458083;020401;3;4.55;5.88;29.60;1.71;0.00;0.00;53.89;4.36;
458084;020401;4;3.14;3.77;49.48;0.84;0.00;0.00;34.59;8.18;
458085;020401;5;3.78;4.36;39.83;2.03;0.00;0.00;43.02;6.98;
458086;020401;6;2.65;1.86;36.34;1.86;0.00;0.00;52.79;4.51;
458087;020401;7;4.08;4.20;41.66;0.93;0.00;0.00;40.72;8.40;
458088;020401;8;4.81;4.49;30.13;0.32;0.00;0.00;58.33;1.92;
458089;020401;9;3.68;3.01;29.10;2.01;0.00;0.00;58.86;3.34;
458092;020402;1;2.46;4.21;31.23;1.75;0.00;0.00;55.44;4.91;
458093;020402;2;5.56;7.14;28.97;0.79;0.00;0.00;52.78;4.76;
458094;020402;3;2.79;3.26;17.21;1.40;0.00;0.00;70.70;4.65;
458095;020403;1;3.78;2.03;24.71;0.87;0.00;0.00;65.41;3.20;
458096;020403;2;0.95;4.73;28.39;2.21;0.00;0.00;60.25;3.47;
458097;020403;3;4.33;6.14;15.52;2.17;0.00;0.00;68.59;3.25;
458098;020403;4;3.94;4.33;27.56;0.39;0.00;0.00;59.06;4.72;
458099;020404;1;3.37;5.06;26.02;1.45;0.00;0.00;55.42;8.67;
458100;020404;2;3.86;3.60;40.10;2.06;0.00;0.00;41.26;9.13;
458101;020404;3;4.46;4.46;33.17;0.00;0.00;0.00;53.47;4.46;
458102;020404;4;7.60;3.60;24.40;2.00;0.00;0.00;55.20;7.20;
458103;020404;5;8.41;2.21;16.81;0.88;0.00;0.00;66.37;5.31;
458104;020501;1;2.67;3.66;39.24;1.69;0.00;0.00;46.41;6.33;
458113;020501;10;7.09;4.11;36.45;0.85;0.00;0.00;46.67;4.82;
458114;020501;11;3.71;3.21;38.94;1.36;0.00;0.00;47.84;4.94;
458115;020501;12;3.13;4.18;29.44;1.04;0.00;0.00;56.37;5.85;
485239;020501;13;4.17;20.83;4.17;12.50;0.00;0.00;58.33;0.00;
485240;020501;14;0.00;0.00;29.17;4.17;0.00;0.00;58.33;8.33;
458105;020501;2;4.22;5.42;48.58;0.46;0.00;0.00;35.63;5.69;
458106;020501;3;4.17;3.97;42.06;1.19;0.00;0.00;43.45;5.16;
458107;020501;4;3.41;4.43;39.35;1.87;0.00;0.00;46.00;4.94;
458108;020501;5;5.32;6.34;38.04;3.07;0.00;0.00;42.54;4.70;
458109;020501;6;5.26;8.70;33.60;1.21;0.00;0.00;45.14;6.07;
458110;020501;7;2.62;3.55;38.27;0.77;0.00;0.00;47.53;7.25;
458111;020501;8;2.46;5.57;38.69;0.82;0.00;0.00;46.89;5.57;
458112;020501;9;3.44;4.94;40.57;0.30;0.00;0.00;42.37;8.38;
458116;020502;1;3.61;4.82;40.36;0.60;0.00;0.00;41.37;9.24;
458125;020502;10;2.15;4.30;41.94;1.08;0.00;0.00;43.01;7.53;
458126;020502;11;2.10;5.59;40.56;1.40;0.00;0.00;38.46;11.89;
485241;020502;12;0.00;0.00;25.00;8.33;0.00;0.00;41.67;25.00;
485242;020502;13;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;
458117;020502;2;5.36;6.06;37.76;1.40;0.00;0.00;40.09;9.32;
458118;020502;3;5.31;6.58;35.03;1.91;0.00;0.00;44.37;6.79;
458119;020502;4;4.68;5.11;38.30;0.85;0.00;0.00;43.83;7.23;
458120;020502;5;3.05;2.44;31.10;1.22;0.00;0.00;57.32;4.88;
458121;020502;6;8.02;2.95;42.19;0.42;0.00;0.00;40.93;5.49;
458122;020502;7;5.21;3.32;26.54;0.95;0.00;0.00;57.82;6.16;
458123;020502;8;4.58;2.08;38.75;1.25;0.00;0.00;45.83;7.50;
458124;020502;9;2.44;3.25;34.96;1.63;0.00;0.00;52.03;5.69;
458127;020503;1;4.35;6.62;25.33;0.76;0.00;0.00;56.71;6.24;
458128;020503;2;3.72;3.26;21.86;0.93;0.00;0.00;66.98;3.26;
458129;020503;3;4.91;4.56;30.88;0.70;0.00;0.00;52.28;6.67;
458130;020503;4;3.82;3.10;26.01;0.95;0.00;0.00;60.38;5.73;
458131;020504;1;2.84;3.62;30.49;3.36;0.00;0.00;54.26;5.43;
458132;020504;2;2.77;3.02;39.29;1.01;0.00;0.00;46.10;7.81;
458133;020504;3;3.36;4.32;32.85;0.72;0.00;0.00;51.08;7.67;
458134;020505;1;5.17;5.67;33.54;1.01;0.00;0.00;49.18;5.42;
458135;020505;2;4.98;4.98;35.52;1.13;0.00;0.00;48.64;4.75;
458136;020506;1;4.30;1.43;34.77;0.72;0.00;0.00;53.41;5.38;
458137;020506;2;3.75;4.43;35.26;1.02;0.00;0.00;51.62;3.92;
485243;020506;3;6.25;12.50;25.00;0.00;0.00;0.00;56.25;0.00;
458138;020601;1;2.39;6.14;49.83;0.68;0.00;0.00;31.74;9.22;
458139;020601;2;3.66;2.62;63.09;1.05;0.00;0.00;20.68;8.90;
458140;020601;3;2.30;5.22;62.42;1.67;0.00;0.00;21.50;6.89;
458141;020601;4;2.48;4.55;57.76;0.83;0.00;0.00;27.54;6.83;
458142;020601;5;1.42;6.80;55.24;3.97;0.00;0.00;25.78;6.80;
485244;020601;6;1.41;1.41;49.30;1.41;0.00;0.00;43.66;2.82;
458143;020602;1;5.13;6.23;47.99;4.40;0.00;0.00;28.57;7.69;
458144;020602;2;3.14;4.45;46.60;3.40;0.00;0.00;35.08;7.33;
458145;020602;3;2.89;4.76;50.65;2.31;0.00;0.00;33.19;6.20;
458146;020602;4;2.74;5.32;43.91;2.06;0.00;0.00;37.22;8.75;
458147;020602;5;3.52;4.40;52.88;2.74;0.00;0.00;27.76;8.70;
458148;020602;6;3.15;6.62;42.90;3.15;0.00;0.00;36.59;7.57;
485246;020602;7;7.69;7.69;7.69;0.00;0.00;0.00;69.23;7.69;
485247;020602;8;4.17;8.33;25.00;4.17;0.00;0.00;54.17;4.17;
485248;020602;9;0.00;4.35;41.30;6.52;0.00;0.00;45.65;2.17;
458149;020603;1;3.00;5.79;52.58;0.43;0.00;0.00;30.26;7.94;
458150;020603;2;3.86;4.02;48.38;1.85;0.00;0.00;34.31;7.57;
458151;020603;3;4.03;8.35;48.78;1.58;0.00;0.00;30.36;6.91;
458152;020603;4;3.41;4.95;46.75;0.62;0.00;0.00;34.06;10.22;
458153;020604;1;2.67;5.33;51.33;0.00;0.00;0.00;38.00;2.67;
458154;020604;2;5.49;3.66;48.35;2.20;0.00;0.00;26.01;14.29;
458155;020604;3;7.42;1.29;44.52;1.29;0.00;0.00;37.42;8.06;
458156;020604;4;4.04;5.51;42.28;2.21;0.00;0.00;37.87;8.09;
458157;020604;5;3.45;2.42;51.99;1.04;0.00;0.00;32.99;8.12;
458158;020604;6;2.76;4.52;53.27;1.01;0.00;0.00;30.78;7.66;
485249;020604;7;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;
485250;020604;8;0;
0;
0;
0;
0;
0;
0;
0;

458159;020605;1;5.38;7.89;43.37;0.72;0.00;0.00;34.77;7.89;
458160;020605;2;5.19;6.49;46.75;3.25;0.00;0.00;33.77;4.55;
458161;020605;3;1.39;3.47;39.58;1.39;0.00;0.00;43.75;10.42;
458162;020605;4;3.31;4.55;53.03;1.38;0.00;0.00;29.48;8.26;
487176;020605;5;1.33;4.00;49.33;0.00;0.00;0.00;41.33;4.00;
458163;020606;1;3.74;4.77;57.19;0.85;0.00;0.00;25.70;7.74;
458164;020606;2;4.08;5.36;57.08;1.50;0.00;0.00;22.53;9.44;
458165;020606;3;3.42;6.24;42.66;1.21;0.00;0.00;36.22;10.26;
458166;020606;4;2.45;3.27;41.42;2.72;0.00;0.00;41.42;8.72;
458167;020607;1;2.97;4.25;51.27;3.54;0.00;0.00;29.75;8.22;
458168;020607;2;2.95;3.61;52.88;1.74;0.00;0.00;30.66;8.17;
458169;020607;3;3.35;3.20;44.51;1.07;0.00;0.00;42.84;5.03;
458170;020607;4;3.20;3.62;37.74;4.69;0.00;0.00;39.66;11.09;
458171;020607;5;4.40;6.29;41.51;4.09;0.00;0.00;38.68;5.03;
458172;020607;6;1.97;3.95;32.24;0.00;0.00;0.00;50.66;11.18;
458173;020607;7;5.91;6.30;43.31;1.97;0.00;0.00;33.86;8.66;
458174;020608;1;3.27;4.08;51.16;2.04;0.00;0.00;31.43;8.03;
458175;020608;2;1.90;4.29;55.24;1.43;0.00;0.00;25.24;11.90;
458176;020608;3;5.06;4.14;54.94;1.84;0.00;0.00;26.90;7.13;
458177;020608;4;2.47;5.93;46.17;3.21;0.00;0.00;34.32;7.90;
458178;020608;5;2.04;3.75;42.59;6.81;0.00;0.00;39.18;5.62;
458179;020608;6;2.05;4.10;56.66;3.41;0.00;0.00;28.33;5.46;
485251;020608;7;5.88;8.82;11.76;17.65;0.00;0.00;47.06;8.82;
458180;020609;1;3.38;5.18;42.34;1.35;0.00;0.00;38.29;9.46;
458181;020609;2;3.44;3.75;40.62;1.25;0.00;0.00;39.38;11.56;
458182;020609;3;4.08;4.89;37.23;1.36;0.00;0.00;39.40;13.04;
458183;020609;4;3.70;4.50;46.30;2.12;0.00;0.00;35.45;7.94;
458184;020701;1;3.37;3.99;41.56;0.92;0.00;0.00;44.79;5.37;
485253;020701;10;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;
458185;020701;2;5.31;4.64;39.14;1.49;0.00;0.00;42.12;7.30;
458186;020701;3;1.25;5.33;43.10;0.78;0.00;0.00;43.57;5.96;
458187;020701;4;3.93;3.19;42.38;1.60;0.00;0.00;42.87;6.02;
458188;020701;5;2.41;3.97;43.69;1.28;0.00;0.00;42.27;6.38;
458189;020701;6;2.10;3.15;48.60;1.75;0.00;0.00;36.71;7.69;
458190;020701;7;3.17;3.45;49.81;1.68;0.00;0.00;35.45;6.44;
458191;020701;8;3.12;4.73;47.94;1.51;0.00;0.00;35.15;7.55;
485252;020701;9;2.22;0.00;54.44;3.33;0.00;0.00;37.78;2.22;
458192;020702;1;4.17;4.17;40.44;2.70;0.00;0.00;41.42;7.11;
458193;020702;2;5.98;3.74;31.96;1.68;0.00;0.00;51.21;5.42;
458194;020702;3;4.50;2.25;50.80;1.29;0.00;0.00;36.33;4.82;
458195;020702;4;4.55;4.55;44.55;1.36;0.00;0.00;42.27;2.73;
458196;020702;5;4.98;3.01;34.34;2.10;0.00;0.00;50.07;5.50;
458197;020702;6;4.30;5.91;22.58;2.15;0.00;0.00;63.98;1.08;
458198;020702;7;4.69;3.52;53.52;1.95;0.00;0.00;31.64;4.69;
485254;020702;8;6.67;13.33;26.67;6.67;0.00;0.00;26.67;20.00;
458199;020703;1;1.00;5.60;51.80;0.00;0.00;0.00;29.20;12.40;
458200;020703;2;2.70;3.34;52.15;1.75;0.00;0.00;32.27;7.79;
458201;020703;3;3.83;4.09;51.98;1.32;0.00;0.00;29.29;9.50;
458202;020703;4;5.61;3.39;32.38;1.57;0.00;0.00;48.83;8.22;
458203;020703;5;10.11;1.06;34.04;1.06;0.00;0.00;48.40;5.32;
458204;020703;6;5.86;4.03;39.56;1.10;0.00;0.00;42.12;7.33;
458205;020703;7;2.64;3.02;32.45;0.75;0.00;0.00;55.47;5.66;
