id;teryt;nrk;K15;KBLN;KE;LR;PFP;PLE;PiS;WRB;
457895;020101;1;4.57;5.51;41.57;0.63;0.00;0.00;41.42;6.30;
457904;020101;10;4.26;4.09;42.25;0.85;0.00;0.00;39.86;8.69;
457905;020101;11;2.16;2.62;53.70;1.08;0.00;0.00;35.80;4.63;
457906;020101;12;3.63;5.06;44.08;1.58;0.00;0.00;40.76;4.90;
457907;020101;13;2.72;4.97;49.52;1.28;0.00;0.00;33.97;7.53;
457908;020101;14;2.35;4.43;51.63;1.69;0.00;0.00;31.68;8.21;
457909;020101;15;3.45;4.46;52.66;0.72;0.00;0.00;32.66;6.04;
457910;020101;16;3.88;7.19;52.37;0.72;0.00;0.00;29.35;6.47;
457911;020101;17;5.19;4.79;41.32;1.00;0.00;0.00;39.52;8.18;
457912;020101;18;4.13;7.28;44.69;0.98;0.00;0.00;34.84;8.07;
457913;020101;19;4.64;5.83;52.98;0.40;0.00;0.00;28.21;7.95;
457896;020101;2;3.20;4.57;46.58;0.76;0.00;0.00;36.38;8.52;
457914;020101;20;6.33;8.23;42.56;0.79;0.00;0.00;34.81;7.28;
457915;020101;21;3.49;4.70;45.22;1.67;0.00;0.00;38.85;6.07;
485228;020101;22;0.00;0.00;35.29;0.00;0.00;0.00;64.71;0.00;
485229;020101;23;4.55;0.00;18.18;0.00;0.00;0.00;68.18;9.09;
485230;020101;24;0.00;0.00;26.92;11.54;0.00;0.00;46.15;15.38;
457897;020101;3;4.22;7.09;43.74;1.66;0.00;0.00;38.61;4.68;
457898;020101;4;2.10;7.15;47.83;1.12;0.00;0.00;37.59;4.21;
457899;020101;5;2.41;5.14;48.23;1.77;0.00;0.00;36.17;6.27;
457900;020101;6;4.09;5.38;43.01;1.29;0.00;0.00;39.57;6.67;
457901;020101;7;3.10;3.98;51.77;1.18;0.00;0.00;34.07;5.90;
457902;020101;8;4.11;6.10;44.96;0.85;0.00;0.00;38.01;5.96;
457903;020101;9;3.59;4.37;48.52;1.56;0.00;0.00;35.73;6.24;
457916;020102;1;4.88;6.62;24.39;0.70;0.00;0.00;56.45;6.97;
457925;020102;10;6.53;5.28;37.69;2.26;0.00;0.00;43.47;4.77;
457926;020102;11;3.85;5.94;10.84;1.05;0.00;0.00;73.78;4.55;
457917;020102;2;2.84;6.72;47.80;1.55;0.00;0.00;35.66;5.43;
457918;020102;3;3.38;6.77;41.35;0.38;0.00;0.00;42.48;5.64;
457919;020102;4;5.71;5.71;20.00;1.79;0.00;0.00;62.50;4.29;
457920;020102;5;7.01;4.16;42.86;1.56;0.00;0.00;37.66;6.75;
457921;020102;6;4.98;6.77;30.48;0.60;0.00;0.00;53.98;3.19;
457922;020102;7;5.99;5.99;37.87;0.27;0.00;0.00;44.69;5.18;
457923;020102;8;5.16;7.54;26.79;1.19;0.00;0.00;53.97;5.36;
457924;020102;9;4.12;6.25;48.58;0.57;0.00;0.00;33.52;6.96;
457927;020103;1;4.99;6.99;33.10;1.28;0.00;0.00;47.65;5.99;
