1;525811;SZYDŁO Beata Maria;PiS
2;422321;BUZEK Jerzy Karol;KE
3;409108;WIŚNIEWSKA Jadwiga Maria;PiS
4;307084;OCHOJSKA-OKOŃSKA Janina Maria;KE
5;276014;PORĘBA Tomasz Piotr;PiS
6;258366;JAKI Patryk Tomasz;PiS
7;252032;KOPACZ Ewa Bożena;KE
8;239893;ARŁUKOWICZ Bartosz Adam;KE
9;221279;GRÄFIN VON THUN UND HOHENSTEIN Róża Maria;KE
10;219252;CIMOSZEWICZ Włodzimierz;KE
11;209219;KEMPA Beata Agnieszka;PiS
12;207769;BIELAN Adam Jerzy;PiS
13;204496;MAZUREK Beata;PiS
14;199591;ADAMOWICZ Magdalena;KE
15;186574;SARYUSZ-WOLSKI Jacek Emil;PiS
16;185168;BRUDZIŃSKI Joachim Stanisław;PiS
17;183947;KARSKI Karol Adam;PiS
18;182451;BELKA Marek Marian;KE
19;168309;ZALEWSKA Anna Elżbieta;PiS
20;167958;WASZCZYKOWSKI Witold Jan;PiS
21;164034;KRASNODĘBSKI Zdzisław Marek;PiS
22;163829;KRUK Elżbieta Małgorzata;PiS
23;160517;FOTYGA Anna Elżbieta;PiS
24;146453;HÜBNER Danuta Maria;KE
25;138854;JARUBAS Adam Sebastian;KE
26;134495;CZARNECKI Ryszard Henryk;PiS
27;134346;KUŹMIUK Zbigniew Krzysztof;PiS
28;130317;KOPCIŃSKA Joanna Maria;PiS
29;129339;SIKORSKI Radosław Tomasz;KE
30;125773;FRANKOWSKI Tomasz;KE
31;120990;LEWANDOWSKI Janusz Antoni;KE
32;107113;ZŁOTOWSKI Kosma Tadeusz;PiS
33;105684;HETMAN Krzysztof Andrzej;KE
34;104566;JURGIEL Krzysztof;PiS
35;104177;KALINOWSKI Jarosław;KE
36;103862;SKRZYDLEWSKA Joanna Katarzyna;KE
37;99897;LIBERADZKI Bogusław Marian;KE
38;96238;BIEDROŃ Robert;WRB
39;87304;HALICKI Andrzej Witold;KE
40;85619;GASIUK-PIHOWICZ Kamila;KE
41;84225;BREJZA Krzysztof;KE
42;80906;WAŁĘSA Jarosław Leszek;KE
43;79380;MILLER Leszek Cezary;KE
44;78351;KLOC Izabela Helena;PiS
45;77567;DUDA Jarosław;KE
46;77374;SELLIN Jarosław Daniel;PiS
47;76953;MOŻDŻANOWSKA Andżelika Anna;PiS
48;72769;LICHOCKA Joanna Katarzyna;PiS
49;70981;ROSATI Dariusz Kajetan;KE
50;70916;RAFALSKA Elżbieta;PiS
51;70265;MUCHA Joanna;KE
52;69811;KOC Maria Zofia;PiS
53;69006;OLBRYCHT Jan Marian;KE
54;65710;LEGUTKO Ryszard Antoni;PiS
55;65002;TOBISZOWSKI Grzegorz Józef;PiS
56;64113;RZOŃCA Bogdan Józef;PiS
57;63169;PASŁAWSKA Urszula Stefania;KE
58;63007;SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena;KE
59;58861;BUŁA Andrzej;KE
60;56490;LATOS Tomasz Edward;PiS
61;55306;SPUREK Sylwia Iwona;WRB
62;53757;SONIK Bogusław Andrzej;KE
63;53157;ZEMKE Janusz Władysław;KE
64;52082;PROTAS Jacek;KE
65;51221;GRZYB Andrzej Marian;KE
66;50426;BERKOWICZ Konrad Szczepan;KBLN
67;48762;KOHUT Łukasz Marcin;WRB
68;46680;ŚMISZEK Krzysztof Jan;WRB
69;45009;BALT Marek Paweł;KE
70;43566;WOJCIECHOWSKI Grzegorz Michał;PiS
71;41912;TARCZYŃSKI Dominik;PiS
72;41762;KUKIZ-SZCZUCIŃSKI Paweł Wiktor;K15
73;40942;POLAK Elżbieta Anna;KE
74;40737;ŁUKACIJEWSKA Elżbieta Katarzyna;KE
75;40049;LIROY-MARZEC Piotr Krzysztof;KBLN
76;39920;BOSAK Krzysztof;KBLN
77;39288;BOSACKI Marcin Rafał;KE
78;38534;GDULA Maciej Roman;WRB
79;38052;SIEKIERSKI Czesław Adam;KE
80;37673;SZWED Stanisław;PiS
81;37524;RUTNICKI Jakub Adam;KE
82;37199;GIRZYŃSKI Zbigniew;PiS
83;36997;SKOWROŃSKA Krystyna;KE
84;36907;LENIART Ewa Maria;PiS
85;35750;WAWRYKIEWICZ Michał;KE
86;35288;KUCHARSKA-DZIEDZIC Anita Agnieszka;WRB
87;35030;PIECHA Bolesław Grzegorz;PiS
88;35015;BARTOSZEWSKI Władysław Teofil;KE
89;34893;STACHOWIAK-RÓŻECKA Mirosława Agnieszka;PiS
90;34506;WILK Jacek;KBLN
91;34017;RADZIWIŁŁ Konstanty;PiS
92;33072;BRAUN Grzegorz Michał;KBLN
93;32350;NYKIEL Mirosława;KE
94;32119;PORZUCEK Marcin Bartosz;PiS
95;31723;PLURA Marek Mirosław;KE
96;30949;DZIEDZICZAK Jan Michał;PiS
97;30716;TYSZKA Stanisław;K15
98;29891;JUREK Marek;K15
99;29799;SZYNKOWSKI VEL SĘK Szymon Andrzej;PiS
100;29152;MAŁECKI Maciej;PiS
101;28875;MULARCZYK Arkadiusz;PiS
102;28605;KŁOSOWSKI Sławomir;PiS
103;27788;BEJDA Paweł Jan;KE
104;27493;KUROWSKA Maria Stanisława;PiS
105;27162;DŁUGI Grzegorz Karol;K15
106;26721;ŚCIGAJ Agnieszka;K15
107;26484;SOWIŃSKA Anita Katarzyna;WRB
108;26465;BONI Michał Jan;KE
109;26410;KORWIN-MIKKE Janusz Ryszard;KBLN
110;26232;WINNICKI Robert Artur;KBLN
111;25070;SOŚNIERZ Andrzej Stanisław;PiS
112;24872;KALETA Sebastian Jerzy;PiS
113;24785;SOŚNIERZ Dobromir Andrzej;KBLN
114;24645;CYMAŃSKI Tadeusz;PiS
115;23999;MACIEJEWSKA Beata Monika;WRB
116;23846;FALEJ Monika Walentyna;WRB
117;23845;BARTOSIK Ryszard;PiS
118;23614;CZERWIŃSKA Anita;PiS
119;23251;MARCZUŁAJTIS-WALCZAK Jagna Kinga;KE
120;23034;KRUPKA Anna Maria;PiS
121;22214;DRÓŻDŻ Beata Zofia;PiS
122;21993;NOWICKA Wanda Hanna;WRB
123;21802;PRZYBYLSKI Przemysław Tomasz;PiS
124;21311;ZAWIŚLAK Sławomir;PiS
125;20714;KWIECIEŃ Anna;PiS
126;20374;CZOCHARA Katarzyna Beata;PiS
127;20262;HOC Czesław;PiS
128;20064;PŁATEK Monika Stanisława;WRB
129;20007;CZARTORYSKI Arkadiusz;PiS
130;19832;SZEJNA Andrzej Jan;KE
131;19815;MIESZKOWSKI Krzysztof;KE
132;18188;SAGAN Marlena Barbara;PiS
133;18134;ARENT Iwona Ewa;PiS
134;17423;WOJTUNIK Paweł;KE
135;17365;BOROWIAK Joanna Beata;PiS
136;17204;SACHAJKO Jarosław;K15
137;17079;ZANDBERG Adrian Tadeusz;LR
138;17020;PIECHNA-WIĘCKIEWICZ Paulina Krystyna;WRB
139;16855;HAIDAR Riad;KE
140;16818;GODEK Kaja Urszula;KBLN
141;16815;KAMIŃSKA Bożena;KE
142;16718;MENTZEN Sławomir Jerzy;KBLN
143;16609;SCHEURING-WIELGUS Joanna Izabela;WRB
144;16582;KRUPA Urszula Irena;PiS
145;16439;USTROBIŃSKI Marek Jerzy;KE
146;16129;TUDUJ Krzysztof;KBLN
147;15977;IWASZKIEWICZ Robert Jarosław;KBLN
148;15856;JAKUBIAK Marek;KBLN
149;15778;KUBICA Józef Jan;PiS
150;15606;DUSZEK Marcin Kamil;PiS
151;15490;MATERNA Jerzy Marian;PiS
152;15465;GWIAZDOWSKI Robert Andrzej;PFP
153;15225;TUMANOWICZ Witold Sławomir;KBLN
154;15157;SZRAMKA Paweł;K15
155;14790;MACIEJEWSKI Andrzej;K15
156;14574;CYRAŃSKI Adam Zbigniew;KE
157;14536;DUDZIAK Lidia Danuta;PiS
158;14401;APEL Piotr Daniel;K15
159;14359;MRZYGŁOCKA Izabela Katarzyna;KE
160;14074;SAGATOWSKA Janina Zofia;PiS
161;14073;GOŁOJUCH Kazimierz Edward;PiS
162;13891;WRÓBLEWSKA Krystyna Małgorzata;PiS
163;13839;SZWED Aleksander Jakub;PiS
164;13760;PAMUŁA Teresa;PiS
165;13699;HIBNER Jolanta Emilia;KE
166;13576;PILCH Piotr;PiS
167;13554;CZERNIAK Hubert Stanisław;KBLN
168;13362;SEKUŁA Joanna;KE
169;13316;BIEDROŃ Adriana Maria;WRB
170;13314;WOJCIECHOWSKA Anna;KE
171;13171;KOZAKIEWICZ Władysław;KE
172;12934;SKIBA Anna Agnieszka;WRB
173;12701;CHOROSIŃSKA Dominika Małgorzata;PiS
174;12627;MATEUSIAK-PIELUCHA Beata Anna;PiS
175;12326;ANDZEL Waldemar Franciszek;PiS
176;12232;TOMCZYK-IWKO Olimpia Joanna;K15
177;11944;LUBINIECKA-RÓŻYŁO Katarzyna Elżbieta;WRB
178;11932;ŻALEK Justyna Emilia;PiS
179;11921;SIKORA Danuta Teresa;PiS
180;11878;KRUCZEK Stanisław;PiS
181;11814;NIEDZIELA Dorota;KE
182;11624;BUJAK Zbigniew;WRB
183;11579;CIEŚLAK Michał;PiS
184;11467;BOBOLA Alicja Maria;K15
185;11418;ROMANOWSKI Rafał;PiS
186;11352;WARDZAŁA Robert Marian;KE
187;11243;KOROLKO Michał Przemysław;KE
188;11175;GRABOWSKI Paweł;K15
189;11028;KISIELEWICZ Andrzej Marian;PiS
190;10907;MARENIN Małgorzata Diana;WRB
191;10728;JĘDRZEJEWSKA Aneta;KE
192;10623;UTECHT Waldemar Arkadiusz;KBLN
193;10574;IKONOWICZ Piotr Igor;LR
194;10573;MÜLLER Piotr Józef;PiS
195;10461;RZEPA Jarosław Michał;KE
196;10134;TOMASZEWSKA Ewa;PiS
197;10031;KIEPURA Henryk;KE
198;9876;KONIECZNY Maciej;LR
199;9815;WYPYCH Małgorzata Maria;PiS
200;9771;ROKICKA Julia Agata;KE
201;9572;BACZYŃSKI Jacek Marcin;PiS
202;9544;KARPOWICZ Joanna;PiS
203;9363;GOLIŃSKA Małgorzata Joanna;PiS
204;9318;OBWIOSŁO-BUDZYŃ Sabina Krystyna;WRB
205;9249;HUSIEW Barbara;K15
206;9217;BARTUŚ Barbara Halina;PiS
207;9211;ZAWISZA Marcelina Monika;LR
208;9181;WARGOCKA Teresa Anna;PiS
209;9089;STĘPIEŃ Joanna Krystyna;WRB
210;8993;DUDA Elżbieta;PiS
211;8910;DROZDOWSKI Krzysztof Andrzej;KBLN
212;8902;GOŁASZEWSKI Marcin Łukasz;KE
213;8874;STĘPIEŃ Miłosława Dorota;KE
214;8299;POPKOWSKI Robert Adam;PiS
215;8285;KOBYLARZ Andrzej Sławomir;K15
216;8275;KOSSAKOWSKI Wojciech;PiS
217;8204;MAŃKUT Władysław;KE
218;8136;KOBYLIŃSKI Paweł Bronisław;KE
219;8055;KŁOPOTEK Agnieszka Maria;KE
220;8040;GRYGLAS Zbigniew;PiS
221;8030;SZYDLIK Bożena Grażyna;PiS
222;8004;FRYDRYCH Joanna Zofia;KE
223;7819;SZYMAŃSKI Antoni;PiS
224;7773;ZIELIŃSKA Urszula Sara;KE
225;7764;KORWIN-MIKKE Jacek Baltazar;KBLN
226;7573;FEDAK Jolanta Beata;KE
227;7527;KALINOWSKA Katarzyna;KE
228;7463;KULIK Grażyna Danuta;KE
229;7427;RZĄSA Marek Zdzisław;KE
